episode,reward_first0,reward_second0,rolling_avg_30,epsilon
160,0.0,0.0,-1.77,0.435
161,5.0,-5.0,-1.23,0.433
162,-6.0,6.0,-1.13,0.43
163,-8.0,8.0,-1.7,0.428
164,-4.0,4.0,-1.7,0.426
165,1.0,-1.0,-1.4,0.424
166,-3.0,3.0,-1.4,0.421
167,-3.0,3.0,-1.23,0.419
168,-2.0,2.0,-1.47,0.417
169,-4.0,4.0,-1.03,0.415
170,11.0,-11.0,-0.67,0.412
171,-3.0,3.0,-0.97,0.41
172,-8.0,8.0,-1.33,0.408
173,16.0,-16.0,-0.73,0.406
174,-7.0,7.0,-0.87,0.404
175,3.0,-3.0,-0.87,0.402
176,-6.0,6.0,-1.03,0.399
177,-7.0,7.0,-1.07,0.397
178,4.0,-4.0,-0.93,0.395
179,4.0,-4.0,-0.83,0.393
180,8.0,-8.0,-0.57,0.391
181,8.0,-8.0,-0.53,0.389
182,7.0,-7.0,0.07,0.387
183,-6.0,6.0,-0.07,0.385
184,2.0,-2.0,0.13,0.383
185,1.0,-1.0,-0.03,0.381
186,-4.0,4.0,-0.07,0.379
187,-9.0,9.0,-0.6,0.377
188,-11.0,11.0,-0.67,0.375
189,-12.0,12.0,-1.1,0.373
190,-4.0,4.0,-1.23,0.371
191,-1.0,1.0,-1.43,0.369
192,-3.0,3.0,-1.33,0.367
193,3.0,-3.0,-0.97,0.365
194,-18.0,18.0,-1.43,0.363
195,-7.0,7.0,-1.7,0.361
196,-1.0,1.0,-1.63,0.359
197,0.0,0.0,-1.53,0.357
198,0.0,0.0,-1.47,0.355
199,-14.0,14.0,-1.8,0.353
200,-10.0,10.0,-2.5,0.351
201,-1.0,1.0,-2.43,0.349
202,4.0,-4.0,-2.03,0.347
203,14.0,-14.0,-2.1,0.346
204,8.0,-8.0,-1.6,0.344
205,7.0,-7.0,-1.47,0.342
206,-5.0,5.0,-1.43,0.34
207,-11.0,11.0,-1.57,0.338
208,13.0,-13.0,-1.27,0.336
209,-5.0,5.0,-1.57,0.335
210,2.0,-2.0,-1.77,0.333
211,-7.0,7.0,-2.27,0.331
212,-2.0,2.0,-2.57,0.329
213,-5.0,5.0,-2.53,0.328
214,1.0,-1.0,-2.57,0.326
215,-3.0,3.0,-2.7,0.324
216,-3.0,3.0,-2.67,0.322
217,10.0,-10.0,-2.03,0.321
218,-8.0,8.0,-1.93,0.319
219,-3.0,3.0,-1.63,0.317
220,1.0,-1.0,-1.47,0.316
221,-7.0,7.0,-1.67,0.314
222,8.0,-8.0,-1.3,0.312
223,-2.0,2.0,-1.47,0.311
224,-3.0,3.0,-0.97,0.309
225,-9.0,9.0,-1.03,0.307
226,-11.0,11.0,-1.37,0.306
227,15.0,-15.0,-0.87,0.304
228,-6.0,6.0,-1.07,0.302
229,-6.0,6.0,-0.8,0.301
230,1.0,-1.0,-0.43,0.299
231,-7.0,7.0,-0.63,0.297
232,-15.0,15.0,-1.27,0.296
233,6.0,-6.0,-1.53,0.294
234,3.0,-3.0,-1.7,0.293
235,2.0,-2.0,-1.87,0.291
236,3.0,-3.0,-1.6,0.29
237,-11.0,11.0,-1.6,0.288
238,0.0,0.0,-2.03,0.287
239,0.0,0.0,-1.87,0.285
240,3.0,-3.0,-1.83,0.284
241,-5.0,5.0,-1.77,0.282
242,-10.0,10.0,-2.03,0.28
243,-14.0,14.0,-2.33,0.279
244,-10.0,10.0,-2.7,0.277
245,5.0,-5.0,-2.43,0.276
246,-10.0,10.0,-2.67,0.275
247,-6.0,6.0,-3.2,0.273
248,5.0,-5.0,-2.77,0.272
249,-4.0,4.0,-2.8,0.27
250,-5.0,5.0,-3.0,0.269
251,-1.0,1.0,-1.0,0.269
252,-6.0,6.0,-3.5,0.269
253,5.0,-5.0,-0.67,0.269
254,-15.0,15.0,-4.25,0.269
255,2.0,-2.0,-3.0,0.269
256,0.0,0.0,-2.5,0.268
257,-3.0,3.0,-2.57,0.267
258,1.0,-1.0,-2.12,0.266
259,-13.0,13.0,-3.33,0.264
260,3.0,-3.0,-2.7,0.263
261,2.0,-2.0,-2.27,0.261
262,3.0,-3.0,-1.83,0.26
263,-12.0,12.0,-2.62,0.259
264,-2.0,2.0,-2.57,0.257
265,-7.0,7.0,-2.87,0.256
266,-5.0,5.0,-3.0,0.254
267,-4.0,4.0,-3.06,0.253
268,-5.0,5.0,-3.17,0.252
269,-17.0,17.0,-3.89,0.25
270,1.0,-1.0,-3.65,0.249
271,6.0,-6.0,-3.19,0.248
272,2.0,-2.0,-2.95,0.246
273,2.0,-2.0,-2.74,0.245
274,-2.0,2.0,-2.71,0.244
275,0.0,0.0,-2.6,0.242
276,-18.0,18.0,-3.19,0.241
277,3.0,-3.0,-2.96,0.24
278,-16.0,16.0,-3.43,0.239
279,-8.0,8.0,-3.59,0.237
280,0.0,0.0,-3.47,0.236
281,-6.0,6.0,-3.63,0.235
282,8.0,-8.0,-3.17,0.234
283,-8.0,8.0,-3.6,0.232
284,4.0,-4.0,-2.97,0.231
285,-5.0,5.0,-3.2,0.23
286,-3.0,3.0,-3.3,0.229
287,-8.0,8.0,-3.47,0.227
288,-3.0,3.0,-3.6,0.226
289,5.0,-5.0,-3.0,0.225
290,0.0,0.0,-3.1,0.224
291,-7.0,7.0,-3.4,0.223
292,-10.0,10.0,-3.83,0.221
293,-8.0,8.0,-3.7,0.22
294,-7.0,7.0,-3.87,0.219
295,15.0,-15.0,-3.13,0.218
296,1.0,-1.0,-2.93,0.217
297,-3.0,3.0,-2.9,0.216
298,10.0,-10.0,-2.4,0.214
299,15.0,-15.0,-1.33,0.213
300,-16.0,16.0,-1.9,0.212
301,1.0,-1.0,-2.07,0.211
302,-9.0,9.0,-2.43,0.21
303,-15.0,15.0,-3.0,0.209
304,3.0,-3.0,-2.83,0.208
305,-2.0,2.0,-2.9,0.206
306,-5.0,5.0,-2.47,0.205
307,-2.0,2.0,-2.63,0.204
308,7.0,-7.0,-1.87,0.203
309,-7.0,7.0,-1.83,0.202
310,5.0,-5.0,-1.67,0.201
311,-5.0,5.0,-1.63,0.2
312,-25.0,25.0,-2.73,0.2
313,-7.0,7.0,-2.7,0.2
314,9.0,-9.0,-2.53,0.2
315,2.0,-2.0,-2.3,0.2
316,-27.0,27.0,-3.1,0.2
317,-14.0,14.0,-3.3,0.2
318,-6.0,6.0,-3.4,0.2
319,-4.0,4.0,-3.7,0.2
320,13.0,-13.0,-3.27,0.2
321,1.0,-1.0,-3.0,0.2
322,2.0,-2.0,-2.6,0.2
323,1.0,-1.0,-2.3,0.2
324,-10.0,10.0,-2.4,0.2
325,0.0,0.0,-2.9,0.2
326,-2.0,2.0,-3.0,0.2
327,-5.0,5.0,-3.07,0.2
328,4.0,-4.0,-3.27,0.2
329,-12.0,12.0,-4.17,0.2
330,-10.0,10.0,-3.97,0.2
331,-8.0,8.0,-4.27,0.2
332,-4.0,4.0,-4.1,0.2
333,-5.0,5.0,-3.77,0.2
334,12.0,-12.0,-3.47,0.2
335,-3.0,3.0,-3.5,0.2
336,-26.0,26.0,-4.2,0.2
