episode,reward_first0,reward_second0,rolling_avg_30,epsilon
160,-11.0,11.0,-3.23,0.435
161,-4.0,4.0,-3.13,0.433
162,-2.0,2.0,-3.2,0.43
163,-10.0,10.0,-3.53,0.428
164,-2.0,2.0,-3.53,0.426
165,-3.0,3.0,-3.8,0.424
166,27.0,-27.0,-2.87,0.421
167,-20.0,20.0,-3.67,0.419
168,-14.0,14.0,-4.17,0.417
169,0.0,0.0,-3.83,0.415
170,3.0,-3.0,-3.33,0.412
171,-4.0,4.0,-3.23,0.41
172,1.0,-1.0,-2.93,0.408
173,-3.0,3.0,-3.0,0.406
174,0.0,0.0,-3.13,0.404
175,6.0,-6.0,-2.73,0.402
176,-5.0,5.0,-2.9,0.399
177,-2.0,2.0,-3.03,0.397
178,0.0,0.0,-3.43,0.395
179,-5.0,5.0,-3.47,0.393
180,0.0,0.0,-3.53,0.391
181,-17.0,17.0,-4.0,0.389
182,-25.0,25.0,-4.27,0.387
183,6.0,-6.0,-3.5,0.385
184,-18.0,18.0,-4.0,0.383
185,-5.0,5.0,-4.4,0.381
186,1.0,-1.0,-3.8,0.379
187,-15.0,15.0,-4.43,0.377
188,4.0,-4.0,-4.07,0.375
189,-8.0,8.0,-4.17,0.373
190,-1.0,1.0,-3.83,0.371
191,2.0,-2.0,-3.63,0.369
192,-4.0,4.0,-3.7,0.367
193,0.0,0.0,-3.37,0.365
194,-4.0,4.0,-3.43,0.363
195,-7.0,7.0,-3.57,0.361
196,1.0,-1.0,-4.43,0.359
197,4.0,-4.0,-3.63,0.357
198,3.0,-3.0,-3.07,0.355
199,7.0,-7.0,-2.83,0.353
200,-3.0,3.0,-3.03,0.351
201,-7.0,7.0,-3.13,0.349
202,-7.0,7.0,-3.4,0.347
203,6.0,-6.0,-3.1,0.346
204,-4.0,4.0,-3.23,0.344
205,0.0,0.0,-3.43,0.342
206,-12.0,12.0,-3.67,0.34
207,-7.0,7.0,-3.83,0.338
208,-5.0,5.0,-4.0,0.336
209,3.0,-3.0,-3.73,0.335
210,-10.0,10.0,-4.07,0.333
211,-3.0,3.0,-3.6,0.331
212,1.0,-1.0,-2.73,0.329
213,-4.0,4.0,-3.07,0.328
214,-6.0,6.0,-2.67,0.326
215,-13.0,13.0,-2.93,0.324
216,1.0,-1.0,-2.93,0.322
217,-3.0,3.0,-2.53,0.321
218,-10.0,10.0,-3.0,0.319
219,-9.0,9.0,-3.03,0.317
220,-13.0,13.0,-3.43,0.316
221,0.0,0.0,-3.5,0.314
222,-4.0,4.0,-3.5,0.312
223,1.0,-1.0,-3.47,0.311
224,-16.0,16.0,-3.87,0.309
225,-2.0,2.0,-3.7,0.307
226,2.0,-2.0,-3.67,0.306
227,0.0,0.0,-3.8,0.304
228,-8.0,8.0,-4.17,0.302
229,-1.0,1.0,-4.43,0.301
230,-8.0,8.0,-4.6,0.299
231,4.0,-4.0,-4.23,0.297
232,-3.0,3.0,-4.1,0.296
233,-1.0,1.0,-4.33,0.294
234,1.0,-1.0,-4.17,0.293
235,1.0,-1.0,-4.13,0.291
236,-13.0,13.0,-4.17,0.29
237,1.0,-1.0,-3.9,0.288
238,-2.0,2.0,-3.8,0.287
239,-1.0,1.0,-3.93,0.285
240,-8.0,8.0,-3.87,0.284
241,0.0,0.0,-3.77,0.282
